	2-Methoxyphenol sulfate	2-Methylbutyrylglycine	3-(3-Hydroxyphenyl)propionic acid sulfate	3-Ethylphenol	4-Hydroxybenzoic acid sulfate	4-Pyridoxic acid	Docosatetraenoic acid	Glycocholic acid	L-Tryptophan	Linoleyl-carnitine	Phenylacetylglycine
normal_2	2.08E-05	0.002850033	2.17E-05	4.83E-06	2.05E-05	0.000183393	0.002544868	0.00369782	0.00179845	0.000484409	0.000513471
normal_23	0.000234479	0.013614045	0.000192964	0.000629989	2.25E-05	0.000280196	0.002598908	0.001519589	0.002108122	0.001013905	8.78E-05
normal_27	1.83E-05	0.002629318	9.24E-05	6.73E-06	2.11E-05	0.000106346	0.003285673	0.007121171	0.001971255	0.001134124	0.000140576
normal_35	0.000161183	0.008820502	0.000158433	0.000400473	3.48E-05	1.44E-05	0.002454255	0.002837639	0.002284895	0.001217763	0.000140391
normal_37	0.000263514	0.006909391	0.000224608	6.30E-05	2.64E-05	0.000396775	0.003230225	0.001502796	0.001739314	0.001058674	0.000347597
normal_48	0.000222708	0.004315452	0.000260167	0.000335111	5.46E-05	0.000363942	0.003415976	0.001299566	0.001883767	0.000923743	6.73E-05
normal_7	0.000109399	0.003531188	0.000222769	0.000198317	1.97E-05	0.000385393	0.005478828	0.001376602	0.00166177	0.000844376	6.06E-05
normal_9	3.50E-05	0.004107146	9.89E-05	1.18E-05	4.23E-05	0.000220956	0.003683468	0.001153883	0.002358749	0.000694733	0.000132415
model_21	0.002422724	0.001261812	0.002831074	0.001708001	0.001118754	0.001744526	0.002004069	0.001026038	0.000800426	0.00050214	0.000823445
model_28	0.002057502	0.001645901	0.002586789	0.00305886	0.000613151	0.001503267	0.001573385	0.000337626	0.000532175	0.000256769	0.001014558
model_29	0.0016427	0.000555337	0.001967744	0.001992965	0.000511866	0.000907062	0.001690924	0.000265712	0.00061119	0.001196968	0.001280519
model_32	0.000938254	0.002980163	0.001731675	0.000956586	0.000535214	0.000318663	0.001848709	0.000462301	0.001147674	0.000397925	0.000490455
model_4	0.000558545	0.004360767	0.001269411	0.000646819	0.000255944	0.001113759	0.004104499	0.002441222	0.001087567	0.000576224	0.000540322
model_63	0.000476716	0.001546127	0.001872393	0.001418247	0.00058805	0.001062637	0.001688299	0.000502806	0.000981631	0.00062294	0.000416055
model_65	0.000286526	0.002523474	0.001952394	0.00092463	0.001559087	0.001101055	0.001923924	0.000545757	0.001704664	0.000506416	0.001637849
model_66	0.000529336	0.003815219	0.000763341	0.002003305	0.0006599	0.000881017	0.002200323	0.000731667	0.000572484	0.000553802	0.001938252
low_dose_18	0.000464149	0.004646124	0.000401203	0.001709997	0.000411678	0.000771487	0.003248546	0.001224757	0.000290954	0.000580269	0.001048435
low_dose_33	0.002037681	0.000261283	0.002173706	0.001744174	0.000963073	0.001443862	0.0016165	0.000386795	0.000606424	0.000408053	0.000589326
low_dose_34	0.000963654	0.001504606	0.002929136	0.001779564	0.001543745	0.001765693	0.002561081	0.000582813	0.000930267	0.000294554	0.000662391
low_dose_40	0.000217578	0.001293651	0.000935315	0.000897014	0.000300757	0.000586774	0.002385588	0.000502931	0.000632631	0.000296317	0.002535184
low_dose_46	0.001135382	0.001104511	0.006092601	0.001018106	0.007272755	0.002339604	0.00149879	0.000668241	0.00051991	0.000377761	0.000574298
low_dose_47	0.000882108	0.00272841	0.002893631	0.001600099	0.001445979	0.001834423	0.002623931	0.000553805	0.000861222	0.000216903	0.00494167
low_dose_54	0.00116654	0.013635971	0.005702278	0.002131363	0.000471853	0.001577926	0.001429147	0.000294249	0.000602492	0.000404806	0.000385058
low_dose_61	0.0008551	0.001337365	0.002321286	0.001096692	0.000457861	0.001277536	0.002538364	0.00110258	0.000801217	0.000369346	0.000331224
high_dose_38	0.000285625	0.003319713	0.001550753	0.000926413	0.000263047	0.000732932	0.001730985	0.003997699	0.000988244	0.000552887	0.001318374
high_dose_49	0.000578166	0.001746207	0.002269227	0.000905083	0.000340844	0.000253888	0.00336312	0.000628258	0.000571433	0.000403226	0.002643726
high_dose_62	0.000719408	0.002300574	0.001692714	0.000982656	0.000148099	0.000780845	0.002135736	0.000998598	0.001106693	0.000949199	0.000859307
high_dose_67	0.000109313	0.005315226	0.000427723	0.000347219	8.88E-05	0.000212226	0.003147017	0.002574794	0.001304498	0.000538097	0.000242624
high_dose_70	0.000464854	0.001497701	0.001303034	0.000818904	0.000676599	0.000153131	0.0027394	0.004253751	0.001130101	0.000641957	0.000713438
high_dose_74	0.000559624	0.004122782	0.003073557	0.000664141	0.000435206	0.000710837	0.002204968	0.000831929	0.000840486	0.000510185	0.0010502
high_dose_76	0.000508069	0.002604483	0.000491345	0.000666351	0.000176659	0.000552922	0.002247535	0.002066218	0.001345709	0.000560463	0.00026078
high_dose_81	0.000600628	0.008139936	0.001765246	0.000338624	0.000331037	0.000760391	0.005236893	0.001075993	0.000920752	0.000644818	0.000274448
