	Corynebacterium	Adlercreutzia	Bacteroides	Parabacteroides	Enterococcus	Staphylococcus	Clostridium_sensu_stricto_1	Frisingicoccus	GCA-900066575	Lachnoclostridium	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG-006	Marvinbryantia	Roseburia	[Eubacterium]_ventriosum_group	[Eubacterium]_xylanophilum_group	Colidextribacter	[Eubacterium]_coprostanoligenes_group	Escherichia-Shigella	Group
A.35	0.056022409	0.373482726	12.15686275	1.568627451	0.242763772	0.074696545	6.573295985	0.149393091	0.2054155	3.436041083	29.00093371	1.848739496	2.33426704	0.504201681	1.195144725	4.183006536	1.288515406	3.902894491	0.261437908	normal
A.37	0.03485535	0.383408853	8.940397351	0.57511328	0.383408853	0.104566051	4.234925061	0.365981178	0.365981178	3.293830603	34.82049495	2.875566399	1.917044266	0.662251656	0.975949808	4.583478564	1.132798885	3.677239456	0.243987452	normal
A.23	0.014781966	0.251293422	9.667405765	1.10864745	0.07390983	0.118255728	2.350332594	0.206947524	0.650406504	4.538063562	49.06134516	3.84331116	2.010347376	1.005173688	1.241685144	4.626755358	1.389504804	1.951219512	0.192165558	normal
A.48	0.016860563	0.488956331	14.1797336	1.079076041	0.236047884	0.067442253	5.479683021	0.202326758	0.101163379	3.254088687	37.98684876	1.77035913	1.416287304	1.129657731	0.893609847	2.697690103	1.062215478	2.545945035	0.185466195	normal
A.27	0.015845349	0.348597687	9.633972429	0.887339566	0.110917446	0.126762795	2.662018698	0.190144193	0.26937094	4.912058311	55.22104262	2.757090794	0.760576771	0.823958168	0.617968626	4.452543179	1.55284424	1.140865156	0.443669783	normal
A.7	0.029420418	0.485436893	9.473374522	0.882612533	0.26478376	0.029420418	5.884083554	0.161812298	0.338334804	2.942041777	45.43983525	1.647543395	0.853192115	0.676669609	0.809061489	4.427772874	0.970873786	1.985878199	0.441306267	normal
A.2	0.018238191	0.109429145	24.40269925	1.951486413	0.273572862	0.091190954	6.821083349	0.23709648	0.109429145	1.714389933	18.91300383	0.784242203	2.35272661	0.383002006	1.65967536	2.298012037	0.71128944	3.629399964	0.601860295	normal
A.9	0.08908686	0.601336303	9.933184855	0.846325167	0.489977728	0.022271715	11.0467706	0.200445434	0.178173719	2.405345212	19.93318486	1.113585746	1.692650334	0.489977728	1.247216036	2.672605791	1.336302895	2.360801782	0.267260579	normal
B.21	6.804677017	0.095840521	2.204331992	0.555875024	3.967797585	7.686409814	27.8129193	0	0.038336209	0.153344834	7.379720146	0	0.460034503	0	0.191681043	0.153344834	0.555875024	1.322599195	0.019168104	model
B.28	3.839009288	0.144478844	0.330237358	0	2.125902993	9.308565531	53.53973168	0	0	0	1.444788442	0.020639835	0.04127967	0	0.123839009	0.103199174	0.227038184	0.433436533	0.020639835	model
B.63	0.915845861	0	0.380162433	0.017280111	1.624330396	1.74529117	50.66528426	0	0.017280111	0.017280111	3.265940902	0	0.034560221	0	0.017280111	0.259201659	0.138240885	0.034560221	0.017280111	model
B.29	4.0430388	0.163025758	0.217367677	0.043473535	0.456472123	0.956417781	62.81925878	0	0	0.054341919	0.695576568	0.065210303	0.021736768	0	0	0.054341919	0.065210303	0.065210303	0	model
B.65	1.54209284	0.12588513	1.164437451	0.25177026	0.676632573	1.856805665	45.66483084	0	0	0.094413847	2.218725413	0.031471282	0.094413847	0.330448466	0.015735641	0.204563336	0.236034618	0.25177026	0.078678206	model
B.32	0.495253818	0.082542303	1.630210483	0.123813454	0.701609575	1.857201816	51.91910854	0.041271151	0.020635576	0	2.785802724	0	0.082542303	0	0.103177879	0.43334709	0.14444903	0.392075939	0	model
B.66	0.596782564	0.025947068	9.470679813	0.51894136	0.25947068	1.037882719	25.99896212	0	0	0	1.193565127	0.051894136	0.12973534	0	0.12973534	0.337311884	0.155682408	0.467047224	0	model
B.4	2.032264823	0.293316572	0.16760947	0.041902367	5.049235282	4.734967526	49.52859837	0	0.083804735	0.083804735	0.691389063	0	0	0	0.062853551	0.041902367	0	0.146658286	0.041902367	model
C.33	0.102774923	0.71942446	17.83144913	1.387461459	0.128468654	0.411099692	1.978417266	0.436793422	0.745118191	1.002055498	20.70914697	0.205549846	0.924974306	1.027749229	0.873586845	4.162384378	0.35971223	1.721479959	0.462487153	low_dose
C.18	0.208986416	0.313479624	17.68025078	1.630094044	0.020898642	0.313479624	10.32392894	0.229885057	0.250783699	1.253918495	5.997910136	0.167189133	0.585161964	0.585161964	0.606060606	1.755485893	1.233019854	1.504702194	0.083594566	low_dose
C.34	0.287958115	0.209424084	11.20418848	1.544502618	0.235602094	0.104712042	5.654450262	0.445026178	0.785340314	0.863874346	8.90052356	0.287958115	1.308900524	1.282722513	0.654450262	0.837696335	0.863874346	2.094240838	0.366492147	low_dose
C.46	0.166512488	0.277520814	11.41535615	1.739130435	0.222016651	0.240518039	23.77428307	0.333024977	1.128584644	0.592044403	8.214616096	0	0.333024977	0.518038853	0.092506938	0.518038853	1.017576318	1.31359852	0.203515264	low_dose
C.38	0.129115558	0.225952227	17.04325371	1.226597805	0.03227889	0.419625565	7.036797934	0.774693351	0.419625565	1.807617818	3.905745642	0.064557779	1.032924467	0.903808909	0.258231117	0.129115558	0.968366688	1.936733376	0.903808909	high_dose
C.47	0.204157387	0.501113586	24.09057164	2.802524128	0	0.018559762	2.505567929	0.965107647	0.668151448	1.44766147	9.075723831	0.167037862	0.649591685	0.742390497	0.556792873	2.041573868	0.890868597	1.29918337	0.129918337	low_dose
C.40	0.061190148	0.520116261	4.038549793	0.535413798	0.030595074	0.305950742	31.4211412	0.198867982	0.137677834	0.336545816	2.47820101	0.168272908	0.321248279	0.321248279	0.198867982	1.254398042	0.764876855	0.596603947	0.061190148	low_dose
C.49	0.243393602	0.104311544	13.10848401	1.877607789	0	0.278164117	5.945757997	0.139082058	0.243393602	0.521557719	6.258692629	0.104311544	0.625869263	0.243393602	0.173852573	1.147426982	0.90403338	0.973574409	0.069541029	high_dose
