Genus	Enzyme	Compound	spearman_correlation	spearman_correlation_p
Adlercreutzia	EC:3.5.1.24	Glycocholic acid	0.3383431085043988	0.058211702316671006
Bacteroides	EC:3.5.1.24	Glycocholic acid	0.4230205278592375	0.01585508584832814
Parabacteroides	EC:3.5.1.24	Glycocholic acid	0.43145161290322576	0.013679491129223505
Enterococcus	EC:3.5.1.24	Glycocholic acid	-0.07847451939436542	0.6694400474076012
Staphylococcus	EC:3.5.1.24	Glycocholic acid	-0.3782991202346041	0.032769074785509396
Clostridium_sensu_stricto_1	EC:3.5.1.24	Glycocholic acid	-0.658357771260997	4.204822855908071e-05
Lachnoclostridium	EC:3.5.1.24	Glycocholic acid	0.6538320938324933	4.94654087780982e-05
Lachnospiraceae_NK4A136_group	EC:3.5.1.24	Glycocholic acid	0.5806451612903225	0.000493700972876005
Marvinbryantia	EC:3.5.1.24	Glycocholic acid	0.5714809384164222	0.0006343005827005974
Roseburia	EC:3.5.1.24	Glycocholic acid	0.49116349873701165	0.004309777513569315
Colidextribacter	EC:3.5.1.24	Glycocholic acid	0.5425219941348973	0.0013371997503727258
Staphylococcus	EC:1.13.11.11	L-Tryptophan	-0.5454545454545454	0.0012436872976584652
Bacteroides	EC:4.1.99.1	L-Tryptophan	0.07587976539589442	0.6797831811869464
Lachnospiraceae_NK4A136_group	EC:4.1.99.1	L-Tryptophan	0.48423753665689145	0.004979879950276074
Corynebacterium	EC:4.2.1.20	L-Tryptophan	-0.45014662756598234	0.009733439565250414
Bacteroides	EC:4.2.1.20	L-Tryptophan	0.07587976539589442	0.6797831811869464
Parabacteroides	EC:4.2.1.20	L-Tryptophan	0.10740469208211142	0.5584828061999085
Enterococcus	EC:4.2.1.20	L-Tryptophan	0.10781078832683848	0.556987617427686
Staphylococcus	EC:4.2.1.20	L-Tryptophan	-0.5454545454545454	0.0012436872976584652
Clostridium_sensu_stricto_1	EC:4.2.1.20	L-Tryptophan	-0.3200146627565982	0.07417350745292123
Frisingicoccus	EC:4.2.1.20	L-Tryptophan	-0.016580913310701818	0.9282315229984512
GCA-900066575	EC:4.2.1.20	L-Tryptophan	-0.09154287468762577	0.6182795090971533
Lachnoclostridium	EC:4.2.1.20	L-Tryptophan	0.5361203147409451	0.001562958286609492
Lachnospiraceae_NK4A136_group	EC:4.2.1.20	L-Tryptophan	0.48423753665689145	0.004979879950276074
Lachnospiraceae_UCG-006	EC:4.2.1.20	L-Tryptophan	0.6423073626627217	7.393512757565744e-05
Marvinbryantia	EC:4.2.1.20	L-Tryptophan	0.4893695014662756	0.0044754380816966356
Roseburia	EC:4.2.1.20	L-Tryptophan	0.19123320018342765	0.294429572325951
Colidextribacter	EC:4.2.1.20	L-Tryptophan	0.3632697947214076	0.04099148721983029
Escherichia-Shigella	EC:4.2.1.20	L-Tryptophan	0.17015035980834373	0.35183549845810547
Corynebacterium	EC:6.1.1.2	L-Tryptophan	-0.45014662756598234	0.009733439565250414
Adlercreutzia	EC:6.1.1.2	L-Tryptophan	0.125	0.49545712501523587
Bacteroides	EC:6.1.1.2	L-Tryptophan	0.07587976539589442	0.6797831811869464
Parabacteroides	EC:6.1.1.2	L-Tryptophan	0.10740469208211142	0.5584828061999085
Enterococcus	EC:6.1.1.2	L-Tryptophan	0.10781078832683848	0.556987617427686
Staphylococcus	EC:6.1.1.2	L-Tryptophan	-0.5454545454545454	0.0012436872976584652
Clostridium_sensu_stricto_1	EC:6.1.1.2	L-Tryptophan	-0.3200146627565982	0.07417350745292123
Frisingicoccus	EC:6.1.1.2	L-Tryptophan	-0.016580913310701818	0.9282315229984512
GCA-900066575	EC:6.1.1.2	L-Tryptophan	-0.09154287468762577	0.6182795090971533
Lachnoclostridium	EC:6.1.1.2	L-Tryptophan	0.5361203147409451	0.001562958286609492
Lachnospiraceae_NK4A136_group	EC:6.1.1.2	L-Tryptophan	0.48423753665689145	0.004979879950276074
Lachnospiraceae_UCG-006	EC:6.1.1.2	L-Tryptophan	0.6423073626627217	7.393512757565744e-05
Marvinbryantia	EC:6.1.1.2	L-Tryptophan	0.4893695014662756	0.0044754380816966356
Roseburia	EC:6.1.1.2	L-Tryptophan	0.19123320018342765	0.294429572325951
Colidextribacter	EC:6.1.1.2	L-Tryptophan	0.3632697947214076	0.04099148721983029
Escherichia-Shigella	EC:6.1.1.2	L-Tryptophan	0.17015035980834373	0.35183549845810547
